,Date,Open,High,Close,Adj Close,Volume,compound,subjectivity,polarity,rsi,stocastic_oscillator,mfi,macd,ema,vwap,obv,bbands_upper,bbands_lower,chaikin,target
100,9/16/2022,151.2100067,151.3500061,150.6999969,150.2210541,162278800,-0.2247,0.419520238,0.137565227,38.27669732,14.66332234,-0.044152608,-2.402750255,156.971351,156.1698622,64518000,162.8960517,149.8539483,25197822.27,149.3099976
101,9/19/2022,149.3099976,154.5599976,154.4799957,153.9890289,81474200,0,0.417585099,0.088496582,44.36263868,38.45186183,0.017122733,-2.375057646,156.6391703,155.6526028,145992200,161.8337241,149.9305603,35995744.83,153.3999939
102,9/20/2022,153.3999939,158.0800018,156.8999939,156.4013519,107689800,0.7783,0.35489899,0.09842803,47.90415887,53.68155511,0.090319948,-2.133246687,156.6739468,155.4404497,253682000,161.484479,149.9926612,30068589.69,157.3399963
103,9/21/2022,157.3399963,158.7400055,153.7200012,153.2314606,101696800,0.7717,0.429017912,0.197856858,43.94562296,33.6690139,0.079532507,-2.173157782,156.2800874,155.242906,151985200,161.2594111,149.717729,-24028692.65,152.3800049
104,9/22/2022,152.3800049,154.4700012,152.7400055,152.2545776,86652500,0.1058,0.44341252,0.163092343,42.77259145,27.50163967,0.038712776,-2.257838125,155.8080765,154.9800363,65332700,160.8741704,149.3572553,-12353200.09,151.1900024
105,9/23/2022,151.1900024,151.4700012,150.4299927,149.9519043,96029900,0.25,0.449353741,0.178195733,40.05827085,12.96411352,0.097431306,-2.482727301,155.0909986,154.520927,-30697200,160.9527242,148.5101293,1486473.814,149.6600037
106,9/26/2022,149.6600037,153.7700043,150.7700043,150.2908325,93339400,0,0.44096912,0.118116979,40.65522651,15.10389709,0.092427452,-2.603505903,154.514866,154.2775032,62642200,161.0117568,147.9139547,-15148965.04,152.7400055
107,9/27/2022,152.7400055,154.7200012,151.7599945,151.2776947,84442700,0.2263,0.368448537,0.132325894,42.45228721,21.33416941,0.043652409,-2.589489851,154.1475498,154.0738458,147084900,160.7942167,147.5314931,-13607730.13,147.6399994
108,9/28/2022,147.6399994,150.6399994,149.8399963,149.3637848,146691400,0,0.410056958,0.095647306,39.92705055,25.74665536,0.117758922,-2.702161004,153.5732094,153.4724531,393500,160.8223679,146.8433404,28536288.9,146.1000061
109,9/29/2022,146.1000061,146.7200012,142.4799957,142.0271759,128138200,-0.1779,0.282919172,0.070902151,32.05542757,7.633600136,0.046211006,-3.346764822,152.0941142,152.4552032,-127744700,161.5771689,143.9613965,-7086440.288,141.2799988
110,9/30/2022,141.2799988,143.1000061,138.1999969,137.7607727,124925300,-0.1779,0.366359541,0.095403358,28.53261809,0.887298171,-0.076525415,-4.155080938,150.2415652,150.7242006,-252670000,160.5985073,141.3357731,-41176101.77,138.2100067
111,10/3/2022,138.2100067,143.0700073,142.4499969,141.9972687,114311700,0.34,0.471589805,0.069960906,36.04831941,22.61279723,0.052217423,-4.401994351,149.2026895,149.568595,-138358300,160.5691226,139.7380151,13241510.88,145.0299988
112,10/4/2022,145.0299988,146.2200012,146.1000061,145.6356812,87830100,0.2732,0.447477553,0.122690797,41.71713393,39.95250567,0.104908409,-4.254111032,148.7889984,148.9957548,-50528200,159.6864212,139.3050033,30834971.41,144.0700073
113,10/5/2022,144.0700073,147.3800049,146.3999939,145.9347076,79471000,0,0.416110322,0.132919034,42.17084714,41.37762562,0.164475401,-4.065837484,148.4704644,148.5729132,28942800,159.2428223,138.895745,24649912.91,145.8099976
114,10/6/2022,145.8099976,147.5399933,145.4299927,144.967804,68402200,0.2732,0.316919192,0.111973906,41.05785982,36.76954448,0.070217415,-3.949374404,148.0650682,148.2688897,-39459400,158.9864664,138.3992431,-11890563.19,142.5399933
